Date,AAPL,FB,AMZ
3/19/2021,119.99,290.11,166.94
3/22/2021,123.39,293.54,166.66
3/23/2021,122.54,290.63,159.64
3/24/2021,120.09,282.14,160.71
3/25/2021,120.59,278.74,161.66
3/26/2021,121.21,283.02,166.83
3/29/2021,121.39,290.82,164.58
3/30/2021,119.9,288,162.87
3/31/2021,122.15,294.53,165.15
4/1/2021,123,298.66,168.77
4/5/2021,125.9,308.91,168
4/6/2021,126.21,306.26,169.04
4/7/2021,127.9,313.09,169.41
4/8/2021,130.36,313.02,170.63
4/9/2021,133,312.46,168.32
4/12/2021,131.24,311.54,167.91
4/13/2021,134.43,309.76,167.9
4/14/2021,132.03,302.82,170.56
4/15/2021,134.5,307.82,172.06
4/16/2021,134.16,306.18,169.9
4/19/2021,134.84,302.24,170.61
4/20/2021,133.11,302.65,169.29
4/21/2021,133.5,301.47,172.07
4/22/2021,131.94,296.52,170.68
4/23/2021,134.32,301.13,173.87
4/26/2021,134.72,303.04,174.96
4/27/2021,134.39,303.57,175.33
4/28/2021,133.58,307.1,179.49
4/29/2021,133.48,329.51,180.36
4/30/2021,131.46,325.08,175.42
5/3/2021,132.54,322.58,176.98
5/4/2021,127.85,318.36,177.87
5/5/2021,128.1,315.02,178.81
5/6/2021,129.74,320.02,180.6
5/7/2021,130.21,319.08,182.8
5/10/2021,126.85,305.97,185
5/11/2021,125.91,306.53,182.65
5/12/2021,122.77,302.55,181.22
5/13/2021,124.97,305.26,184.63
5/14/2021,127.45,315.94,187.17
5/17/2021,126.27,315.46,190.26
5/18/2021,124.85,309.96,188.17
5/19/2021,124.69,313.59,184.32
5/20/2021,127.31,318.61,187.23
5/21/2021,125.43,316.23,187.69
5/24/2021,127.1,324.63,189.88
5/25/2021,126.9,327.79,186.5
5/26/2021,126.85,327.66,188.39
5/27/2021,125.28,332.75,187.94
5/28/2021,124.61,328.73,186.67
6/1/2021,124.28,329.13,191.73
6/2/2021,125.06,329.15,194.54
6/3/2021,123.54,326.04,195.3
6/4/2021,125.89,330.35,196.07
6/7/2021,125.9,336.58,199.26
6/8/2021,126.74,333.68,200.73
6/9/2021,127.13,330.25,201.72
6/10/2021,126.11,332.46,205.8
6/11/2021,127.35,331.26,207.42
6/14/2021,130.48,336.77,207.91
6/15/2021,129.64,336.75,207.79
6/16/2021,130.15,331.08,209.18
6/17/2021,131.79,336.51,199.75
6/18/2021,130.46,329.66,195.05
6/21/2021,132.3,332.29,200.78
6/22/2021,133.98,339.03,199.69
6/23/2021,133.7,340.59,198.29
6/24/2021,133.41,343.18,198.33
6/25/2021,133.11,341.37,195.86
6/28/2021,134.78,355.64,191.57
6/29/2021,136.33,351.89,192.63
6/30/2021,136.96,347.71,196.33
7/1/2021,137.27,354.39,198.84
7/2/2021,139.96,354.7,199.55
7/6/2021,142.02,352.78,197
7/7/2021,144.57,350.49,192.86
7/8/2021,143.24,345.65,191.73
7/9/2021,145.11,350.42,196
7/12/2021,144.5,353.16,194.46
7/13/2021,145.64,352.09,190.79
7/14/2021,149.15,347.63,188.19
7/15/2021,148.48,344.46,185.02
7/16/2021,146.39,341.16,182.53
7/19/2021,142.45,336.95,174.84
7/20/2021,146.15,341.66,182.41
7/21/2021,145.4,346.23,182.52
7/22/2021,146.8,351.19,182.84
7/23/2021,148.56,369.79,182.49
7/26/2021,148.99,372.46,187.16
7/27/2021,146.77,367.81,182.98
7/28/2021,144.98,373.28,185.34
7/29/2021,145.64,358.32,185.64
7/30/2021,145.86,356.3,182.4
8/2/2021,145.52,351.95,179.43
8/3/2021,147.36,351.24,180.24
8/4/2021,146.95,358.92,175.95
8/5/2021,147.06,362.97,173.82
8/6/2021,146.14,363.51,173.95
8/9/2021,146.09,361.61,173.27
8/10/2021,145.6,361.13,176.81
8/11/2021,145.86,359.96,178.38
8/12/2021,148.89,362.65,181.04
8/13/2021,149.1,363.18,178.76
8/16/2021,151.12,366.56,177.2
8/17/2021,150.19,358.45,175.89
8/18/2021,146.36,355.45,172.75
8/19/2021,146.7,355.12,169.48
8/20/2021,148.19,359.37,170.89
8/23/2021,149.71,363.35,173.54
8/24/2021,149.62,365.51,174.9
8/25/2021,148.36,368.39,177.2
